Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [-12.59000015  11.          -5.29468489],Inward Spiral,97.88,7677,5803,6837,6.13390649860902,221.4,9687
0 - [-12.59000015  11.          -5.29468489],BAstar,97.51,7617,5311,3925,5.514295802042784,282.6,24085
0 - [-12.59000015  11.          -5.29468489],BAstar Variant,97.69,7383,4532,6818,4.985769775911872,164.2,24017
1 - [ 26.05999947 -11.         -10.37468719],Inward Spiral,97.58,7819,5808,6898,6.164513907408455,207.4,24020
1 - [ 26.05999947 -11.         -10.37468719],BAstar,98.39,7645,4839,4068,5.135673800862871,172.4,24091
1 - [ 26.05999947 -11.         -10.37468719],BAstar Variant,97.51,7322,4895,6778,5.223285092310941,230.9,24006
2 - [  1.59000003 -12.5         -5.66468811],Inward Spiral,97.5,7834,6279,6959,6.638791465403028,252.7,24021
2 - [  1.59000003 -12.5         -5.66468811],BAstar,98.08,7513,4702,3839,5.048794559845097,194.2,24066
2 - [  1.59000003 -12.5         -5.66468811],BAstar Variant,97.62,7165,4342,6665,4.796648924375466,148.3,24018
3 - [16.5         8.69999981 -5.3346858 ],Inward Spiral,97.82,8047,6702,7366,7.0649353209048895,312.8,24058
3 - [16.5         8.69999981 -5.3346858 ],BAstar,98.05,7404,4549,3570,4.944599999106293,179.7,24063
3 - [16.5         8.69999981 -5.3346858 ],BAstar Variant,97.74,7401,4587,6780,5.06342185932374,174.2,24038
4 - [-0.91000003  4.         -5.41468811],Inward Spiral,97.99,8013,6316,7270,6.86264899027393,257.4,24081
4 - [-0.91000003  4.         -5.41468811],BAstar,97.66,7294,4626,3604,5.02154306640555,203.2,24036
4 - [-0.91000003  4.         -5.41468811],BAstar Variant,98.11,7604,5188,7190,5.4607933039808065,256.8,24084
5 - [-20.28000069   4.5         -5.51468706],Inward Spiral,97.69,8115,6937,7429,7.326462198141304,313.6,24060
5 - [-20.28000069   4.5         -5.51468706],BAstar,98.17,7543,5279,3862,5.513018895200973,260.1,24090
5 - [-20.28000069   4.5         -5.51468706],BAstar Variant,97.52,7255,4394,6703,4.772691035931949,152.7,24026
6 - [ 17.5        -13.5        -10.37468719],Inward Spiral,97.6,7961,6357,7226,6.638830211749412,258.8,24051
6 - [ 17.5        -13.5        -10.37468719],BAstar,97.51,7663,4859,4061,5.154196189081237,173.6,24039
6 - [ 17.5        -13.5        -10.37468719],BAstar Variant,97.63,7379,4928,6826,5.246048569479844,235.0,24041
7 - [-10.84000015 -20.70000076  -9.66468811],Inward Spiral,97.79,7716,5753,6805,6.009545495685619,209.2,24065
7 - [-10.84000015 -20.70000076  -9.66468811],BAstar,97.54,7635,4831,4016,5.166809317029579,167.9,24041
7 - [-10.84000015 -20.70000076  -9.66468811],BAstar Variant,97.65,7393,4532,6825,4.960408674231717,170.9,24045
8 - [ 18.96999931 -11.          -5.75468397],Inward Spiral,97.53,8164,6876,7542,7.309834539497921,307.9,23959
8 - [ 18.96999931 -11.          -5.75468397],BAstar,97.67,7237,4386,3456,4.790691229360431,172.5,23950
8 - [ 18.96999931 -11.          -5.75468397],BAstar Variant,97.59,7295,4521,6852,4.929169546756197,171.8,23946
9 - [ 23.05999947 -10.5        -10.35468674],Inward Spiral,97.74,7524,5462,6663,5.800082487167417,182.4,23965
9 - [ 23.05999947 -10.5        -10.35468674],BAstar,98.39,7666,4862,4056,5.162604398236147,174.0,24059
9 - [ 23.05999947 -10.5        -10.35468674],BAstar Variant,97.91,7336,4710,6816,5.0417159225853565,200.8,24060
