Start point,Algorithm,Coverage efficiency,Number of waypoints,Length of path,Total rotation,Visits per point,Computational time,Memory consumption
0 - [19.5        -4.5        -5.68468523],Naive RRT CPP with Deep First Search,76.08,8522,2933,12977,6.67980995961585,215.7,7710.1
0 - [19.5        -4.5        -5.68468523],Inward Spiral,99.36,8619,7629,8196,7.86307846993764,358.1,24105.2
0 - [19.5        -4.5        -5.68468523],BAstar,98.84,7805,5421,4209,5.63900269713735,363.1,24140.6
0 - [19.5        -4.5        -5.68468523],BAstar Variant,98.93,7705,5162,7192,5.43647593241951,348.1,24152.8
1 - [-22.71999931  -4.30000019  -6.68468523],Naive RRT CPP with Deep First Search,81.54,9292,3189,14416,6.9595917096706,251.8,22643.6
1 - [-22.71999931  -4.30000019  -6.68468523],Inward Spiral,99.32,8607,7545,8089,7.79384317576444,348.5,24213.4
1 - [-22.71999931  -4.30000019  -6.68468523],BAstar,98.73,7883,5700,4281,5.87880478653101,338.8,24010.3
1 - [-22.71999931  -4.30000019  -6.68468523],BAstar Variant,98.93,7798,5240,7151,5.54464317342912,340.6,24191.2
2 - [14.84000015 20.70000076 -5.38468599],Naive RRT CPP with Deep First Search,79.36,9046,3087,13628,6.84759747561079,273.8,22475
2 - [14.84000015 20.70000076 -5.38468599],Inward Spiral,99.37,8518,7402,7969,7.58539590642965,348.4,24250.4
2 - [14.84000015 20.70000076 -5.38468599],BAstar,98.73,7711,5323,4078,5.55621184207375,341.7,24208.7
2 - [14.84000015 20.70000076 -5.38468599],BAstar Variant,98.87,7677,5089,7343,5.31186522364682,322.9,24185.4
3 - [ 16.5        -11.5         -5.74468613],Naive RRT CPP with Deep First Search,77.37,8740,2977,13329,6.74076935579756,237.3,22296.7
3 - [ 16.5        -11.5         -5.74468613],Inward Spiral,99.33,8560,7414,8055,7.58646934945843,348.6,24250.3
3 - [ 16.5        -11.5         -5.74468613],BAstar,98.7,7855,5627,4156,5.83205623209137,357.7,24232.1
3 - [ 16.5        -11.5         -5.74468613],BAstar Variant,98.93,7707,5200,7306,5.42742475330986,353.4,24216.1
4 - [ 5.94000006 15.         -5.19468689],Naive RRT CPP with Deep First Search,78.19,8920,3010,13602,6.84368415727915,268.6,22377.7
4 - [ 5.94000006 15.         -5.19468689],Inward Spiral,99.35,8602,7452,8007,7.67853334615137,350.7,24256.1
4 - [ 5.94000006 15.         -5.19468689],BAstar,98.8,7767,5264,4025,5.53462814621975,353.6,24253.9
4 - [ 5.94000006 15.         -5.19468689],BAstar Variant,99.02,7852,5492,7497,5.7399958957521,337.9,24211.5
5 - [ 10.90999985 -16.5        -10.38468647],Naive RRT CPP with Deep First Search,78.92,8546,2977,12981,6.59814038652288,230.8,22438.8
5 - [ 10.90999985 -16.5        -10.38468647],Inward Spiral,99.33,8626,7587,8020,8.00288068275533,355.2,24259.6
5 - [ 10.90999985 -16.5        -10.38468647],BAstar,98.73,7812,5541,4252,5.74279949674999,343.2,24197.8
5 - [ 10.90999985 -16.5        -10.38468647],BAstar Variant,98.93,7670,5175,7310,5.3559831773367,367.7,24222.6
6 - [-20.46999931  -5.69999981  -6.98468781],Naive RRT CPP with Deep First Search,82.51,9403,3222,14528,6.90637587096544,292.1,22650.6
6 - [-20.46999931  -5.69999981  -6.98468781],Inward Spiral,99.35,8494,7185,7903,7.59797893362504,348.7,24138.5
6 - [-20.46999931  -5.69999981  -6.98468781],BAstar,97.61,7722,5597,4075,5.79018788394495,336.1,24132.1
6 - [-20.46999931  -5.69999981  -6.98468781],BAstar Variant,98.89,7857,5347,7415,5.63459327609327,338.7,24235.2
7 - [-15.43999958 -18.          -8.77468491],Naive RRT CPP with Deep First Search,80.71,9105,3142,13982,6.91649498577399,295,22588.6
7 - [-15.43999958 -18.          -8.77468491],Inward Spiral,99.33,8452,7135,7873,7.41160537592761,348.1,24230.3
7 - [-15.43999958 -18.          -8.77468491],BAstar,98.65,7809,5156,4278,5.39119241132265,340.8,24169.4
7 - [-15.43999958 -18.          -8.77468491],BAstar Variant,98.92,7773,5284,7330,5.49683254231764,379,24200
8 - [  5.88000011 -13.          -5.70468521],Naive RRT CPP with Deep First Search,78.22,8698,2973,13035,6.63734268811367,240.3,7921.9
8 - [  5.88000011 -13.          -5.70468521],Inward Spiral,99.3,8407,7002,7815,7.1605171767094,353.1,24096.6
8 - [  5.88000011 -13.          -5.70468521],BAstar,98.62,7766,5533,4134,5.75187507935846,339.9,24158.4
8 - [  5.88000011 -13.          -5.70468521],BAstar Variant,98.85,7673,4964,7372,5.23134540602465,346.4,24165.9
9 - [-2.55999994 -5.69999981 -5.54468489],Naive RRT CPP with Deep First Search,79.16,8852,3039,13462,6.80126176769683,291.7,22429.6
9 - [-2.55999994 -5.69999981 -5.54468489],Inward Spiral,99.35,8562,7309,8014,7.69306067947679,350.6,24224
9 - [-2.55999994 -5.69999981 -5.54468489],BAstar,98.79,7764,5175,4121,5.46081553886889,335,24169.2
9 - [-2.55999994 -5.69999981 -5.54468489],BAstar Variant,98.95,7730,5114,7199,5.39280010199059,333.3,24250.2
