algorithm,time,coverage,length,rotation,frontier,visited
Optimal,4.1,82.49,30.568757411078277,23.494988150366037,149,199
Optimal,7.5,87.55,36.274295125714175,29.588621259111807,145,245
Optimal,11.1,87.55,36.274295125714175,29.588621259111807,146,296
Optimal,14.2,87.55,36.274295125714175,29.588621259111807,137,337
Optimal,17.7,87.55,36.274295125714175,29.588621259111807,137,387
Optimal,21.3,87.55,36.274295125714175,29.588621259111807,140,440
Optimal,24.6,87.55,36.274295125714175,29.588621259111807,139,489
Optimal,27.8,87.55,36.274295125714175,29.588621259111807,134,534
Optimal,31.0,87.55,36.274295125714175,29.588621259111807,131,581
Optimal,33.9,87.55,36.274295125714175,29.588621259111807,121,621
Optimal,37.5,87.55,36.274295125714175,29.588621259111807,126,676
